Course,Title,A,B,C,D,F,P,N(P),W,I,Number,Professor
AAH,Survey of Art & Arch Hist II,50%,42%,5%,0%,0%,0%,0%,1%,2%,1020,"Lauritis, Beth Ann"
AAH,Art History and Theory II,88%,6%,6%,0%,0%,0%,0%,0%,0%,2060,"Feeser, Andrea V"
ACCT,"ACCT2010Grant, Julie H",43.20%,24.20%,21.20%,4.80%,2.80%,0%,0%,3.40%,0%,2010,"Grant, Julie H"
ACCT,"ACCT2010Madray, J Russell",10%,33.67%,22.33%,11.33%,7.67%,0%,0%,14%,0%,2010,"Madray, J Russell"
ACCT,Financial Accounting Conc,21%,24%,37%,13%,1%,0%,0%,4%,0%,2010,"McCorkle, Emily Suzanne"
ACCT,"ACCT2010McGuigan, Michael John",34.50%,25.50%,16.50%,8%,8%,0%,0%,7.50%,0%,2010,"McGuigan, Michael John"
ACCT,"ACCT2010McMillan, Jeffrey J",21.50%,32%,27%,7.50%,8%,0%,0%,4.50%,0%,2010,"McMillan, Jeffrey J"
ACCT,"ACCT2010Schleifer, Lydia Lancaster Folger",49.67%,22.67%,12.67%,6%,7.33%,0%,0%,1.67%,0%,2010,"Schleifer, Lydia Lancaster Folger"
ACCT,Financial Accounting Conc,36%,33%,24%,2%,5%,0%,0%,0%,0%,2010,"Tegen, Charles A"
ACCT,Managerial Accounting Co,14%,17%,23%,11%,11%,0%,0%,25%,0%,2020,"Carver, Brian Todd"
ACCT,"ACCT2020Garrison J, David Walter",45%,33.75%,12.50%,3.75%,1%,0%,0%,4%,0%,2020,"Garrison J, David Walter"
ACCT,"ACCT2020McCorkle, Emily Suzanne",27.75%,39.75%,19%,8.25%,2.75%,0%,0%,2.25%,0.50%,2020,"McCorkle, Emily Suzanne"
ACCT,"ACCT3030Carver, Brian Todd",21%,28.50%,29%,7%,7%,0%,0%,7%,0%,3030,"Carver, Brian Todd"
ACCT,"ACCT3030Garrett, Jace B",21.50%,39.50%,26.50%,8%,1.50%,0%,0%,3.50%,0%,3030,"Garrett, Jace B"
ACCT,"ACCT3030Radtke, Robin R",28.50%,41%,22%,4.50%,2.50%,0%,0%,1%,0%,3030,"Radtke, Robin R"
ACCT,"ACCT3110Donnelly, Amy Melissa",28%,35%,21.67%,8.67%,4%,0%,0%,2.67%,0%,3110,"Donnelly, Amy Melissa"
ACCT,"ACCT3110Goodson, Brian Matthew",13%,38.50%,37.50%,8%,0%,0%,0%,3%,0%,3110,"Goodson, Brian Matthew"
ACCT,Intermediate Financial Acc,3%,16%,22%,22%,27%,0%,0%,11%,0%,3110,"Maiberger, Philip A"
ACCT,"ACCT3110Philo, Annieka C",23.75%,42.25%,19.75%,7.25%,2%,0%,0%,4.75%,0%,3110,"Philo, Annieka C"
ACCT,"ACCT3120Gibson, Mary Robinson",27.50%,50%,15.50%,3.50%,2%,0%,0%,1%,0%,3120,"Gibson, Mary Robinson"
ACCT,"ACCT3120Knause, Terry Daniel",40.60%,32.40%,17.80%,2.20%,3.20%,0%,0%,4%,0%,3120,"Knause, Terry Daniel"
ACCT,Analytics for Acct Dec Mak,61%,23%,16%,0%,0%,0%,0%,0%,0%,3130,"Barnes, James D"
ACCT,"ACCT3130Davis-Culler, Phebian L",19.33%,38.67%,27%,8.33%,4.33%,0%,0%,2%,0%,3130,"Davis-Culler, Phebian L"
ACCT,"ACCT3130Mammadov, Babak",33%,28.50%,31%,1.50%,2%,0%,0%,4%,0%,3130,"Mammadov, Babak"
ACCT,"ACCT3220Maiberger, Philip A",25%,17%,26%,11.33%,12.67%,0%,0%,8%,0%,3220,"Maiberger, Philip A"
ACCT,Accounting Information Sy,47%,47%,7%,0%,0%,0%,0%,0%,0%,3220,"Martin, Caleb Jay"
ACCT,"ACCT4040Gibson, Mary Robinson",71%,21%,8%,0%,0%,0%,0%,0%,0%,4040,"Gibson, Mary Robinson"
ACCT,"ACCT4040Martin, Sarah L",68%,24%,6.50%,0%,1.50%,0%,0%,0%,0%,4040,"Martin, Sarah L"
ACCT,"ACCT4100McPhee, Gregory Patrick",27.50%,51%,20.50%,1.50%,0%,0%,0%,0%,0%,4100,"McPhee, Gregory Patrick"
ACCT,"ACCT4150Vinson, Jeremy Michael",52%,35.50%,12.50%,0%,0%,0%,0%,0%,0%,4150,"Vinson, Jeremy Michael"
ACCT,"ACCT8520Welton, Ralph Edward",25.50%,66.50%,5%,0%,2%,0%,0%,0%,0%,8520,"Welton, Ralph Edward"
ACCT,"ACCT8540Barnes, James D",50%,48.33%,0%,0%,1.67%,0%,0%,0%,0%,8540,"Barnes, James D"
ACCT,CPA Exam Review-A,0%,0%,0%,0%,0%,98%,2%,0%,0%,8560,"Pearse, Suzanne"
ACCT,CPA Exam Review-F,0%,0%,0%,0%,0%,100%,0%,0%,0%,8580,"Pearse, Suzanne"
ACCT,"ACCT8620Harp, Nancy Lee",69%,29.50%,0%,0%,1.50%,0%,0%,0%,0%,8620,"Harp, Nancy Lee"
ACCT,"ACCT8710Dalton, Derek W.",24.67%,61.67%,13%,0%,1.33%,0%,0%,0%,0%,8710,"Dalton, Derek W."
ACCT,Intl/Spec Tax Topic,38%,47%,16%,0%,0%,0%,0%,0%,0%,8730,"Kisska-Schulze, Kathryn"
ACCT,Internal Controls,78%,22%,0%,0%,0%,0%,0%,0%,0%,8810,"Pearse, Suzanne"
AGED,Teaching Agriscience,33%,50%,8%,0%,0%,0%,0%,8%,0%,2030,"DiBenedetto, Catherine A"
AGED,Digital Media & Learning,65%,15%,15%,5%,0%,0%,0%,0%,0%,4800,"Layfield, Kevin D"
AGM,"AGM2050Massey, Hunter F",20%,46%,24%,6%,4%,0%,0%,0%,0%,2050,"Massey, Hunter F"
AGM,"AGM2060Massey, Hunter F",30%,57%,8%,0%,5%,0%,0%,0%,0%,2060,"Massey, Hunter F"
AGM,Land Measurements,49%,35%,11%,6%,0%,0%,0%,0%,0%,2210,"Teddy, Brennan Edward"
AGM,Irrigation System Design,17%,50%,31%,0%,3%,0%,0%,0%,0%,4020,"Privette, Charles V"
AGM,"AGM4100Massey, Hunter F",42%,19%,16%,10%,6%,0%,0%,6%,0%,4100,"Massey, Hunter F"
AGM,Mobile Power,29%,42%,23%,0%,6%,0%,0%,0%,0%,4520,"Koc, Ali Bulent"
AGM,Capstone,47%,16%,37%,0%,0%,0%,0%,0%,0%,4720,"Turner, Aaron Paul"
AGRB,Agricultural Economics,15%,20%,28%,20%,13%,0%,0%,4%,0%,2020,"Vertino De Queiroz, Pedro Wesley"
AGRB,Agriculture and Society,32%,39%,20%,5%,2%,0%,0%,2%,0%,2050,"Vertino De Queiroz, Pedro Wesley"
AGRB,Quant Agribusiness Analysi,47%,16%,16%,16%,6%,0%,0%,0%,0%,3080,"Herrin, Gracie Elizabeth"
AGRB,Agribusiness Management,12%,21%,17%,36%,12%,0%,0%,2%,0%,3190,"Vassalos, Michael"
AGRB,Prin of Agricultural Sales M,19%,38%,38%,0%,4%,0%,0%,0%,0%,3510,"Vertino De Queiroz, Pedro Wesley"
AGRB,Natural Resources Econom,21%,25%,17%,15%,12%,0%,0%,10%,0%,3570,"Willis, David Brian"
AGRB,Production Economics,17%,13%,17%,21%,25%,0%,0%,8%,0%,4020,"De Figueiredo Silva, Felipe"
AGRB,Quant Agribusiness Analysi,17%,28%,28%,17%,6%,0%,0%,6%,0%,4080,"Hassett, Anastasia Thayer"
AGRB,Prices,3%,37%,23%,17%,17%,0%,0%,3%,0%,4560,"De Figueiredo Silva, Felipe"
AGRB,"Natural Res Use, Tech & P",21%,5%,47%,11%,16%,0%,0%,0%,0%,4570,"Willis, David Brian"
AL,"AL3490Cadorette, Deborah Jo",71.80%,18.60%,6.40%,0.80%,0.80%,0%,0%,1.60%,0%,3490,"Cadorette, Deborah Jo"
AL,Principles of Coaching,52%,28%,12%,8%,0%,0%,0%,0%,0%,3490,"Connor, Clyde Keith"
AL,Principles of Coaching,92%,8%,0%,0%,0%,0%,0%,0%,0%,3490,"Fry, Edmond H"
AL,"AL3490Mezzanotte, Frank P",79%,13.50%,2%,0%,6%,0%,0%,0%,0%,3490,"Mezzanotte, Frank P"
AL,"AL3490Plumblee, John T",78%,14%,0%,2%,2%,0%,0%,4%,0%,3490,"Plumblee, John T"
AL,"AL3490Whitrow, Nicholas Philip Edward",84%,8%,2%,4%,2%,0%,0%,0%,0%,3490,"Whitrow, Nicholas Philip Edward"
AL,"AL3500Godfrey, Michael G",26%,34%,26%,14%,0%,0%,0%,0%,0%,3500,"Godfrey, Michael G"
AL,Kinesiology,29%,14%,7%,14%,7%,0%,0%,29%,0%,3520,"Colbert, Isaac Sean"
AL,"AL3530Colbert, Isaac Sean",34%,22%,28%,8%,6%,0%,0%,2%,0%,3530,"Colbert, Isaac Sean"
AL,Hgh Sch Athl Ethical/Legal I,54%,33%,8%,4%,0%,0%,0%,0%,0%,3600,"Connor, Clyde Keith"
AL,"AL3610Oates, Henry C.",80.67%,10%,7.67%,1.33%,0%,0%,0%,0%,0%,3610,"Oates, Henry C."
AL,"AL3620Carter, Natalie Anne",46%,27%,15%,6.67%,1.33%,0%,0%,4%,0%,3620,"Carter, Natalie Anne"
AL,Coaching Basketball,52%,35%,4%,0%,4%,0%,0%,4%,0%,3720,"Fry, Edmond H"
AL,Coaching Football,72%,16%,8%,0%,4%,0%,0%,0%,0%,3740,"Fry, Edmond H"
AL,Coaching Soccer,88%,8%,4%,0%,0%,0%,0%,0%,0%,3750,"Hickey, Justin M"
AL,"AL3760Fry, Edmond H",71.50%,17%,3.50%,2%,2%,0%,0%,4%,0%,3760,"Fry, Edmond H"
AL,Athletic Leadership Interns,0%,0%,0%,0%,0%,100%,0%,0%,0%,4000,"Cadorette, Deborah Jo"
AL,High School Sports Officiati,72%,16%,0%,0%,0%,0%,0%,12%,0%,4380,"Connor, Clyde Keith"
AL,Student Athlete Developm,33%,44%,17%,0%,6%,0%,0%,0%,0%,4380,"Godfrey, Michael G"
AL,Coaching Softball/Baseball,54%,17%,4%,17%,8%,0%,0%,0%,0%,4380,"Hickey, Justin M"
AL,"AL8380Carlson, Julianna Davis",62.50%,28%,6.50%,0%,3%,0%,0%,0%,0%,8380,"Carlson, Julianna Davis"
AL,"AL8380Young, Kyle McLendon",52.50%,25%,22.50%,0%,0%,0%,0%,0%,0%,8380,"Young, Kyle McLendon"
AL,Principles Strength and Co,58%,42%,0%,0%,0%,0%,0%,0%,0%,8500,"Godfrey, Michael G"
AL,Socio Dynam in Intercol At,63%,29%,8%,0%,0%,0%,0%,0%,0%,8630,"Godfrey, Michael G"
AL,"AL8630Stokowski, Sarah E",36%,31.50%,27%,0%,4.50%,0%,0%,0%,0%,8630,"Stokowski, Sarah E"
AL,"AL8640Butler, Janna Magette",64.67%,20.67%,8%,0%,6.67%,0%,0%,0%,0%,8640,"Butler, Janna Magette"
AL,"AL8700Soles, Misty B",87.50%,12.50%,0%,0%,0%,0%,0%,0%,0%,8700,"Soles, Misty B"
ANTH,Introduction to Anthropol,9%,16%,52%,5%,7%,0%,0%,11%,0%,2010,"Coggeshall, John M"
ANTH,Introduction to Anthropol,75%,17%,7%,2%,0%,0%,0%,0%,0%,2010,"Markus, David M"
ANTH,Introduction to Anthropol,37%,38%,9%,5%,5%,0%,0%,6%,0%,2010,"Rapaport, Lisa G"
ANTH,"ANTH2010Tremblay, Suzanna Eve",69%,23.50%,5%,0.50%,1%,0%,0%,0.50%,0%,2010,"Tremblay, Suzanna Eve"
ANTH,Professional Development,67%,8%,17%,0%,0%,0%,0%,0%,8%,2050,"Weisensee, Katherine E"
ANTH,The Anthropology of Food,46%,34%,15%,2%,0%,0%,0%,2%,0%,3250,"Wu, Yi"
ANTH,Archaeology,63%,17%,10%,0%,7%,0%,0%,0%,3%,3310,"Markus, David M"
ANTH,Biological Anthropology,82%,18%,0%,0%,0%,0%,0%,0%,0%,3510,"Tremblay, Suzanna Eve"
ANTH,Forensic Anthropology,68%,27%,5%,0%,0%,0%,0%,0%,0%,3530,"Tremblay, Suzanna Eve"
ANTH,Medical Anthropology,33%,22%,11%,0%,11%,0%,0%,22%,0%,3910,"Zhang, Yanhua"
ANTH,Anthropological Theories,12%,41%,41%,0%,0%,0%,0%,0%,6%,4040,"Coggeshall, John M"
ANTH,"Anth of Rel, Magic, Witchc",86%,3%,8%,0%,3%,0%,0%,0%,0%,4270,"Coffman, Carolyn Candace"
ARCH,Arch Communication,69%,19%,0%,0%,6%,0%,0%,6%,0%,1510,"Floyd, Harrison Michael"
ARCH,Arch Communication,64%,29%,0%,0%,0%,0%,0%,0%,7%,1510,"Goel, Swati"
ARCH,"ARCH1510Hambright-Belue, Sallie Rebecca",56%,34.50%,6.50%,0%,0%,0%,0%,0%,3%,1510,"Hambright-Belue, Sallie Rebecca"
ARCH,Arch Communication,38%,44%,13%,0%,0%,0%,0%,0%,6%,1510,"Pass, Brandon George"
ARCH,Arch Communication,63%,19%,6%,0%,0%,0%,0%,6%,6%,1510,"Scott, Stacy Hope"
ARCH,Arch Communication,27%,47%,7%,0%,13%,0%,0%,7%,0%,1510,"Terim, Berrin"
ARCH,Arch Foundations II,67%,25%,8%,0%,0%,0%,0%,0%,0%,2520,"Beerman, Bryan Mathew"
ARCH,Arch Foundations II,53%,41%,6%,0%,0%,0%,0%,0%,0%,2520,"Floyd, Harrison Michael"
ARCH,Arch Foundations II,36%,57%,0%,0%,7%,0%,0%,0%,0%,2520,"Kleiss, Michael Carlos Barrios"
ARCH,Arch Foundations II,71%,29%,0%,0%,0%,0%,0%,0%,0%,2520,"Mendez, Clarissa A"
ARCH,Arch Foundations II,79%,21%,0%,0%,0%,0%,0%,0%,0%,2520,"Stevens, James Corbin"
ARCH,"ARCH2700Reres, Lancelot Paul",66.50%,23.50%,6%,0%,1.50%,0%,0%,3%,0%,2700,"Reres, Lancelot Paul"
ARCH,Structures II,29%,54%,4%,4%,4%,0%,0%,7%,0%,2710,"Trick, Amy Christine"
ARCH,Studio Clemson,86%,14%,0%,0%,0%,0%,0%,0%,0%,3510,"Hecker, Douglas A."
ARCH,Studio Clemson,50%,50%,0%,0%,0%,0%,0%,0%,0%,3510,"Lee, David M"
ARCH,History Research,57%,36%,7%,0%,0%,0%,0%,0%,0%,4120,"Roldan, Miguel"
ARCH,Design Seminar,86%,14%,0%,0%,0%,0%,0%,0%,0%,4140,"Roldan, Miguel"
ARCH,Arch Seminar,45%,45%,9%,0%,0%,0%,0%,0%,0%,4210,"Huff, Raymond Thaddeus"
ARCH,Synthesis Studio,57%,29%,7%,0%,0%,0%,0%,7%,0%,4520,"Brown, Timothy Burl"
ARCH,Synthesis Studio,29%,64%,7%,0%,0%,0%,0%,0%,0%,4520,"Franco Santa Cruz, David"
ARCH,Synthesis Studio,14%,21%,64%,0%,0%,0%,0%,0%,0%,4520,"Terim, Berrin"
ARCH,Synthesis Studio,43%,43%,0%,14%,0%,0%,0%,0%,0%,4520,"Trick, Amy Christine"
ARCH,Arch Hist of Place,50%,30%,20%,0%,0%,0%,0%,0%,0%,4710,"Bello, Norman Edward"
ARCH,Internship,77%,23%,0%,0%,0%,0%,0%,0%,0%,4890,"Jennings, Ashley K"
ARCH,Arch Programming,64%,36%,0%,0%,0%,0%,0%,0%,0%,6880,"Edwards, Byron Malet"
ARCH,Visualization II,52%,44%,4%,0%,0%,0%,0%,0%,0%,8110,"Hecker, Douglas A."
ARCH,Community 1:1,29%,71%,0%,0%,0%,0%,0%,0%,0%,8320,"Pastre, David A"
ARCH,Arch Studio II,50%,38%,0%,0%,0%,0%,0%,0%,13%,8420,"Pass, Brandon George"
ARCH,Design Studio IV,83%,17%,0%,0%,0%,0%,0%,0%,0%,8520,"Roberts, Kendall Maurice"
ARCH,History/Theory II,88%,12%,0%,0%,0%,0%,0%,0%,0%,8610,"Laurence, Peter L"
ARCH,History/Theory III,18%,82%,0%,0%,0%,0%,0%,0%,0%,8620,"Maher, Michael T"
ARCH,Topics in Health Policy,67%,33%,0%,0%,0%,0%,0%,0%,0%,8650,"Joseph, Anjali"
ARCH,Structures II,56%,41%,4%,0%,0%,0%,0%,0%,0%,8710,"Albright, Dustin Graham"
ARCH,Building Process:TR,92%,8%,0%,0%,0%,0%,0%,0%,0%,8740,"Blouin, Vincent Yves Marie"
ARCH,Building Economics,79%,21%,0%,0%,0%,0%,0%,0%,0%,8820,"Peek, Eric Vincent"
ARCH,Comprehensive Studio,78%,22%,0%,0%,0%,0%,0%,0%,0%,8920,"Albright, Dustin Graham"
ARCH,Comprehensive Studio,50%,50%,0%,0%,0%,0%,0%,0%,0%,8920,"Allison, David J"
ARCH,Comprehensive Studio,44%,56%,0%,0%,0%,0%,0%,0%,0%,8920,"Harding, Daniel Nevin"
ARCH,Comprehensive Studio,70%,20%,10%,0%,0%,0%,0%,0%,0%,8920,"Schwennsen, Katherine Lee"
ARCH,A+H Studio: Tectonic,67%,33%,0%,0%,0%,0%,0%,0%,0%,8960,"Edwards, Byron Malet"
ART,Foundation Drawing I,80%,10%,10%,0%,0%,0%,0%,0%,0%,1050,"LaPlante, Ariel Vida"
ART,Foundations Art I,58%,42%,0%,0%,0%,0%,0%,0%,0%,1510,"De Cuba, Rachel Lynn"
ART,Foundations Art I,64%,18%,0%,0%,9%,0%,0%,9%,0%,1510,"Stevens, Brooks Harris"
ART,Foundations in Digital Art,57%,14%,7%,7%,0%,0%,0%,14%,0%,1550,"De Cuba, Rachel Lynn"
ART,Beginning Drawing,77%,15%,0%,0%,0%,0%,0%,8%,0%,2060,"Johnson, Lori Brook"
ART,"ART2100Batty, Matthew Anthony",65%,30.50%,5%,0%,0%,0%,0%,0%,0%,2100,"Batty, Matthew Anthony"
ART,Art Appreciation,95%,5%,0%,0%,0%,0%,0%,0%,0%,2100,"Manson V, Joseph Richard"
ART,Begin Printmaking,73%,27%,0%,0%,0%,0%,0%,0%,0%,2110,"Ferguson, Mandy Loraine"
ART,Begin Photography,77%,8%,0%,0%,8%,0%,0%,8%,0%,2130,"Wells, Aviana"
ART,Begin Graphic Design,64%,27%,0%,0%,0%,0%,0%,9%,0%,2150,"Gerhard, David Sidney"
ASL,Am Sign Lang I,71%,21%,4%,4%,0%,0%,0%,0%,0%,1010,"Clements, William Ryals"
ASL,Am Sign Lang I,88%,8%,4%,0%,0%,0%,0%,0%,0%,1010,"Cripps, Jody Herbert"
ASL,Am Sign Lang I,71%,21%,4%,4%,0%,0%,0%,0%,0%,1010,"Misener Dunn, Kim Marlene"
ASL,Am Sign Lang I,56%,40%,0%,0%,0%,0%,0%,4%,0%,1020,"Clements, William Ryals"
ASL,"ASL1020Hurdich, Jason",60.67%,24.67%,7.33%,1.33%,6%,0%,0%,0%,0%,1020,"Hurdich, Jason"
ASL,"ASL2010Misener Dunn, Kim Marlene",67.50%,22.50%,4.50%,3.50%,2%,0%,0%,0%,0%,2010,"Misener Dunn, Kim Marlene"
ASL,Am Sign Lang II,57%,21%,14%,0%,0%,0%,0%,7%,0%,2020,"Clements, William Ryals"
ASL,"ASL2020Hurdich, Jason",73.50%,20%,0%,0%,4.50%,0%,0%,2%,0%,2020,"Hurdich, Jason"
ASL,Fingerspelling & Numbers -,40%,15%,15%,5%,10%,0%,0%,15%,0%,3000,"Fitzmaurice, Stephen Benjamin"
ASL,Advanced Asl II,35%,41%,18%,6%,0%,0%,0%,0%,0%,3020,"Clements, William Ryals"
ASL,Advanced Deaf Culture,27%,40%,20%,0%,0%,0%,0%,13%,0%,4050,"Misener Dunn, Kim Marlene"
ASTR,Solar System Astronomy,43%,37%,13%,3%,2%,0%,0%,1%,1%,1010,"Ajello, Marco"
ASTR,Solar System Astronomy,45%,29%,15%,4%,4%,0%,0%,2%,0%,1010,"Fung, Jeffrey Chak Chee"
ASTR,Stellar Astronomy,53%,40%,6%,0%,1%,0%,0%,0%,1%,1020,"Marler, Joan P"
ASTR,"ASTR1030Connick, David Edward",63.21%,23.79%,4.71%,1.79%,1.71%,0%,0%,4.79%,0%,1030,"Connick, David Edward"
ASTR,"ASTR1040Connick, David Edward",73%,15.25%,8.75%,1%,1%,0%,0%,1.25%,0%,1040,"Connick, David Edward"
AUE,Automotive Proj Tools/Pro,69%,23%,0%,0%,0%,0%,0%,8%,0%,4030,"Kivett, Dee Ann Wood"
AUE,Digital Automotive Manufa,92%,8%,0%,0%,0%,0%,0%,0%,0%,6620,"Krugh, Matthew Charles"
AUE,"Data Sci, Learn, Search Alg",71%,29%,0%,0%,0%,0%,0%,0%,0%,6930,"Rai, Rahul"
AUE,Eng Combustion Emiss,68%,30%,3%,0%,0%,0%,0%,0%,0%,8160,"Prucka, Robert G"
AUE,Alt Energy Sources,90%,7%,2%,0%,0%,0%,0%,0%,0%,8170,"Zhang, Jiangfeng"
AUE,Machine Perception & Inte,64%,36%,0%,0%,0%,0%,0%,0%,0%,8200,"Li, Bing"
AUE,Autonomy: Science and Sy,59%,41%,0%,0%,0%,0%,0%,0%,0%,8230,"Krovi, Venkat Narayan"
AUE,Autonomous Driving Tech,79%,21%,0%,0%,0%,0%,0%,0%,0%,8240,"Jia, Yunyi"
AUE,Tire Behavior,65%,23%,8%,0%,4%,0%,0%,0%,0%,8290,"Bokar, Jason C"
AUE,Stability/Safety Sys,68%,29%,4%,0%,0%,0%,0%,0%,0%,8500,"Goulet, Nathan J"
AUE,Struct/Thermal Analysis M,83%,13%,2%,0%,0%,0%,0%,2%,0%,8550,"Schmueser, David William"
AUE,Adv Matl Auto Appl,83%,17%,0%,0%,0%,0%,0%,0%,0%,8660,"Liu, Shunyu"
AUE,Veh Manuf Proc I,35%,55%,10%,0%,0%,0%,0%,0%,0%,8670,"Agarwal, Ankit"
AUE,Qual Assur Automotiv Man,40%,40%,0%,0%,20%,0%,0%,0%,0%,8690,"Kivett, Dee Ann Wood"
AUE,"Vehicle Noise, Vibrat & Har",5%,75%,20%,0%,0%,0%,0%,0%,0%,8860,"Poland, Jeffrey Blane"
AUE,Robust Predictive Control,60%,0%,20%,0%,0%,0%,0%,20%,0%,8930,"Ayalew, Beshah"
AUE,"AUE8930Rai, Rahul",51.50%,45%,3.50%,0%,0%,0%,0%,0%,0%,8930,"Rai, Rahul"
AUE,Doctoral Dissertation Rese,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Krovi, Venkat Narayan"
AUE,Doctoral Dissertation Rese,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Lawler, Benjamin John"
AUE,Doctoral Dissertation Rese,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Pilla, Srikanth"
AUE,Doctoral Dissertation Rese,0%,0%,0%,0%,0%,100%,0%,0%,0%,9910,"Rai, Rahul"
AVS,Beef Cattle Tech,79%,17%,4%,0%,0%,0%,0%,0%,0%,2000,"Jacobs, Joshua Luke"
AVS,Dairy Sci Techniques,58%,25%,13%,4%,0%,0%,0%,0%,0%,2030,"Aguerre, Matias Jose"
AVS,"AVS3010Birrenkott, Glenn P",39%,36%,22%,3%,0%,0%,0%,0%,0%,3010,"Birrenkott, Glenn P"
AVS,Animal Health,83%,8%,2%,3%,0%,0%,0%,2%,2%,3100,"Strickland, James Robert"
AVS,Animal Welfare,87%,7%,4%,1%,0%,0%,0%,0%,0%,3150,"Ali, Ahmed Badr Abdelwahab"
AVS,Principles of Animal Nutriti,62%,26%,7%,2%,0%,0%,0%,2%,0%,3700,"Strickland, James Robert"
AVS,Applied Animal Nutrition,48%,22%,26%,4%,0%,0%,0%,0%,0%,3750,"Arguelles-Ramos, Mireille"
AVS,AVS Professional Develop,47%,32%,16%,5%,0%,0%,0%,0%,0%,4000,"Jones, Jeryl C"
AVS,Beef Production,31%,31%,15%,8%,15%,0%,0%,0%,0%,4010,"Long, Nathan M"
AVS,Sems & Topics: Senior Cap,67%,17%,17%,0%,0%,0%,0%,0%,0%,4060,"Jones, Jeryl C"
AVS,Equine Repro Physiology,48%,45%,6%,0%,0%,0%,0%,0%,0%,4090,"Sinclair, Chelsea Drumwright"
AVS,Advanced Equine Manage,38%,38%,25%,0%,0%,0%,0%,0%,0%,4120,"Vernon, Kristine Lang"
AVS,Animal Products,88%,8%,3%,0%,0%,0%,0%,0%,0%,4130,"Miller, Richelle Lorraine"
AVS,Animal Agribusiness Devel,50%,30%,10%,10%,0%,0%,0%,0%,0%,4170,"Vernon, Kristine Lang"
AVS,Forages and Livestock Syst,33%,42%,25%,0%,0%,0%,0%,0%,0%,4230,"Aguerre, Matias Jose"
AVS,AVS Teaching Experience,0%,0%,0%,0%,0%,100%,0%,0%,0%,4410,"Strickland, James Robert"
AVS,Animal Physiology II,65%,19%,12%,4%,0%,0%,0%,0%,0%,4670,"Rosenkrans, Charles Frederick"
AVS,Animal Genetics,85%,4%,2%,2%,0%,0%,0%,8%,0%,4700,"Bolt, Brian G"
AVS,Undergrad Research Experi,0%,0%,0%,0%,0%,100%,0%,0%,0%,4910,"Aguerre, Matias Jose"
AVS,"AVS4910Ali, Ahmed Badr Abdelwahab",0%,0%,0%,0%,0%,100%,0%,0%,0%,4910,"Ali, Ahmed Badr Abdelwahab"
AVS,Diagnostic Imaging Animal,0%,0%,0%,0%,0%,100%,0%,0%,0%,4910,"Jones, Jeryl C"
AVS,"AVS4910Strickland, James Robert",0%,0%,0%,0%,0%,100%,0%,0%,0%,4910,"Strickland, James Robert"
AVS,Animal Welfare,83%,0%,0%,0%,0%,0%,0%,17%,0%,8010,"Ali, Ahmed Badr Abdelwahab"
AVS,Vitamin & Mineral Metabo,25%,50%,0%,0%,0%,0%,0%,25%,0%,8010,"Strickland, James Robert"
BCHM,"BCHM3010Harris, Michael Timothy",47.50%,27.50%,9.50%,1.50%,1.50%,0%,0%,11%,1.50%,3010,"Harris, Michael Timothy"
BCHM,Molecular Biochemistry,30%,35%,19%,0%,5%,0%,0%,12%,0%,3010,"Marcotte, William R"
BCHM,Essen Elements Bioch,74%,19%,5%,0%,2%,0%,0%,1%,0%,3050,"Anderson, Heidi Dodson"
BCHM,"BCHM3050Beebe, Lindsey Lee",47.50%,40%,9.50%,1.50%,1.50%,0%,0%,1%,0%,3050,"Beebe, Lindsey Lee"
BCHM,Bioch of Metabolism,66%,21%,8%,5%,0%,0%,0%,0%,0%,4320,"Paul, Kimberly S"
BCHM,"BCHM4360Sehorn, Michael Glen",62%,24.50%,6.50%,0%,1.50%,0%,0%,0%,5.50%,4360,"Sehorn, Michael Glen"
